brand_name,drug_name,alternative_name,drug_id
acyclovir,acyclovir,,d00001
acyclovirsodium,acyclovir,,d00001
sitavig,acyclovir,,d00001
zovirax,acyclovir,,d00001
amiodaronehydrochloride,amiodarone,,d00002
cordarone,amiodarone,,d00002
cordaronei.v.,amiodarone,,d00002
nexterone,amiodarone,,d00002
pacerone,amiodarone,,d00002
amficot,ampicillin,,d00003
ampicillin,ampicillin,,d00003
ampicillinadd-vantage,ampicillin,,d00003
ampicillintrihydrate,ampicillin,,d00003
marcillin,ampicillin,,d00003
omnipen,ampicillin,,d00003
omnipen-n,ampicillin,,d00003
principen,ampicillin,,d00003
totacillin,ampicillin,,d00003
totacillin-n,ampicillin,,d00003
atenolol,atenolol,,d00004
senormin,atenolol,,d00004
tenormin,atenolol,,d00004
bretyliumtosylate,bretylium,,d00005
bretyliumtosylate-dextrose,bretylium,,d00005
bretylol,bretylium,,d00005
capoten,captopril,,d00006
captopril,captopril,,d00006
ancef,cefazolin,,d00007
cefazolinsodium,cefazolin,,d00007
cefazolinsodiumadd-vantage,cefazolin,,d00007
cefazolinsodiumnovaplus,cefazolin,,d00007
kefzol,cefazolin,,d00007
cefotaximesodium,cefotaxime,,d00008
claforan,cefotaxime,,d00008
claforanadd-vantage,cefotaxime,,d00008
ceftazidime,ceftazidime,,d00009
ceptaz,ceftazidime,,d00009
fortaz,ceftazidime,,d00009
fortazadd-vantage,ceftazidime,,d00009
fortaztwistvial,ceftazidime,,d00009
tazicef,ceftazidime,,d00009
tazicefadd-vantage,ceftazidime,,d00009
tazidime,ceftazidime,,d00009
cefizox,ceftizoxime,,d00010
cipro,ciprofloxacin,,d00011
ciprocystitispack,ciprofloxacin,,d00011
ciproi.v.,ciprofloxacin,,d00011
ciproxr,ciprofloxacin,,d00011
ciprofloxacin,ciprofloxacin,,d00011
ciprofloxacinextendedrelease,ciprofloxacin,,d00011
ciprofloxacinhydrochloride,ciprofloxacin,,d00011
proquinxr,ciprofloxacin,,d00011
codeinephosphate,codeine,,d00012
codeinesulfate,codeine,,d00012
enalaprilmaleate,enalapril,,d00013
enalaprilat,enalapril,,d00013
epaned,enalapril,,d00013
vasotec,enalapril,,d00013
garamycin,gentamicin,,d00014
gentamicinsulfate,gentamicin,,d00014
"gentamicinsulfateadd-vantage,injectable",gentamicin,,d00014
"gentamicinsulfate,injectable",gentamicin,,d00014
gentamicinsulfate-sodiumchloride,gentamicin,,d00014
g-mycin,gentamicin,,d00014
jenamicin,gentamicin,,d00014
advancedpainrelief,ibuprofen,,d00015
advil,ibuprofen,,d00015
advilchildren's,ibuprofen,,d00015
advilinfants',ibuprofen,,d00015
adviljuniorstrength,ibuprofen,,d00015
advilliquigel,ibuprofen,,d00015
advilliquigelsminis,ibuprofen,,d00015
advilmigraine,ibuprofen,,d00015
advilpediatric,ibuprofen,,d00015
alivio,ibuprofen,,d00015
arthritisfoundationib,ibuprofen,,d00015
caldolor,ibuprofen,,d00015
cap-profen,ibuprofen,,d00015
children'sadvil,ibuprofen,,d00015
children'sadvilsugar-freedye-free,ibuprofen,,d00015
children'sibuprofen,ibuprofen,,d00015
children'sibuprofenberry,ibuprofen,,d00015
children'sibuprofenbubblegum,ibuprofen,,d00015
children'sibuprofendyefree,ibuprofen,,d00015
children'sibuprofendyefreeberry,ibuprofen,,d00015
children'smotrin,ibuprofen,,d00015
dolgesic,ibuprofen,,d00015
genpril,ibuprofen,,d00015
haltran,ibuprofen,,d00015
ibifon600,ibuprofen,,d00015
ibren,ibuprofen,,d00015
ibu,ibuprofen,,d00015
ibu-200,ibuprofen,,d00015
ibu-4,ibuprofen,,d00015
ibu-6,ibuprofen,,d00015
ibu-8,ibuprofen,,d00015
ibuprofen,ibuprofen,,d00015
ibuprofen,ibuprofen,,d00015
ibuprofenchildren's,ibuprofen,,d00015
ibuprofendyefree,ibuprofen,,d00015
ibuprofenib,ibuprofen,,d00015
ibuprofeninfant'sdrops,ibuprofen,,d00015
ibuprofenlysine,ibuprofen,,d00015
ibuprofenpmr,ibuprofen,,d00015
ibuprofentogo,ibuprofen,,d00015
ibuprohm,ibuprofen,,d00015
