raw_drug,drug_id
(100/50/100),xxxxxx
(aricept) donepezil,d04099
(eye qtts) timolol,d04037
",ec;ozome",d00859
.zantac,d00021
0,xxxxxx
10,xxxxxx
145,xxxxxx
180,xxxxxx
25,xxxxxx
300,xxxxxx
35,xxxxxx
38,xxxxxx
40,xxxxxx
5,xxxxxx
70,xxxxxx
80,xxxxxx
[rewproi,xxxxxx
a,xxxxxx
"a,boem",xxxxxx
aaricept,d04099
abc plus senior,d03145
abilifg,d04825
abilifx,d04825
abilify,d04825
ability,d04825
ablify,xxxxxx
ablitiy,d04825
abreva (10 pct),d04702
absorbase top ointment,d03770
abuterol,d00749
acamprosate,d04986
acamprosate calcium,d04986
acarbose,d03846
accolate,d04053
accupril,d00365
accuretic,d04509
accureticel,d04509
accutane,d01245
acebotolol,d00128
acebutol,d00128
acebutolol,d00128
acebutotol,d00128
acenolol,d00004
aceon,d04440
acephen,d00049
acephex,d04448
acetamenophen,d00049
acetamenophen/hydrocodone,d03428
acetaminephen,d00049
acetaminiphen,d00049
acetaminophan,d00049
acetaminophe,d00049
acetaminophen,d00049
acetaminophen #3,d03423
acetaminophen / codeine #3,d03423
acetaminophen 3,d03423
acetaminophen w/codeine,d03423
acetaminophen-codeine,d03423
acetaminophen-hydrocodone,d03428
acetaminophen-hydrocodone bita,d03428
acetaminophen-propoxyphene,d03434
acetaminophen-tramadol hydroch,d04766
acetaminophen/codeine,d03423
acetaminophen/hydrocodone,d03428
acetamiophen,d00049
acetazolamide,d00161
acetimophen/codeine,d03423
acetominophen,d00049
acetonide,d00620
acetqminophen,d00049
achenol complex,d04300
acherd,d04300
achiphex,d04448
achos,d04442
acidhex,d04448
acidiphex,d04448
acidophilus,d03644
acidphox,d04448
acifex,d04448
acifix,d04448
acipex,d04448
aciphep,d04448
aciphex,d04448
aciphex- dc 2007,xxxxxx
aciphey,d04448
aciphlex,d04448
acipi-tex,d04448
aciplex,d04448
acipnex,d04448
acitretin,d03836
acphex,d04448
acrelura,d00726
acricept,d04099
actenal,d04300
actenel,d04300
actenol,d00004
actifed,d03316
actigail,d01005
actigall,d01005
actinel,d04300
actinol,d04300
activella,d04375
activella (1/0.5mg),d04375
activella(1/0.5mg),d04375
acto plus,d05635
actoid,xxxxxx
actomel,xxxxxx
actonal,d04300
actone,d04300
actonel,d04300
actonel la,d04300
actonel risedronate,d04300
actonel risedronate sodium,d04300
actonel tabs,d04300
actonella,d04300
actonelol,d04300
actonil,d04300
actonol,d04300
actoplus met,d05635
actoplus met tab,d05635
actorel,d04300
actos,d04442
actose,d04442
actoud,d04300
actox,d04442
actron,d00028
actus,d04442
actz,d04442
acular,d03214
acular 0.005,d03214
acular gtts os,d03214
acular ls,d03214
acupril,d00365
acurtetic,d04509
acyclorir,d00001
acyclovin,d00001
acyclovir,d00001
acyclurvir(tb),d00001
acydovir,d00001
adacel (tdap),d05781
adalac,d00051
adalat,d00051
adalat cc,d00051
adalat pc,d00051
adavan,d00149
adderal,d04035
adderal xl,d04035
adderall,d04035
adderall xr,d04035
adderoll,d04035
adidiphex,d04448
adipex,d00806
adodart,d04788
adriamycin,d00218
advair,d04611
advair  inhaler,d04611
advair (inhaler),d04611
advair (puffs),d04611
advair 1 puff,d04611
advair 100 50,d04611
advair 100/50 inhale,d04611
advair 100/50 inhaler,d04611
advair 100/50 mcg,d04611
advair 25/100,d04611
advair 250/50,d04611
advair 50 500,d04611
advair 500,d04611
advair 500/50,d04611
advair 500/50 puffs,d04611
advair 500/so,d04611
advair disc,d04611
advair discus,d04611
advair discus(250/50mg),d04611
advair discys,d04611
advair disk,d04611
advair diskins,d04611
advair disku mis,d04611
advair diskus,d04611
advair diskus 100 50,d04611
advair diskus 100/50,d04611
advair diskus 250/50,d04611
advair diskus 50/250,d04611
advair diskus(100/50mg),d04611
advair diskusavapro,d04611
advair hfa,d04611
advair inh,d04611
advair inhal,d04611
advair inhalation,d04611
advair inhale,d04611
advair inhaler,d04611
advair mdi,d04611
advair mdl,d04611
advair sidcas,d04611
advair(250/50mg),d04611
advair(50/250mg),d04611
advair-inhalation powder,d04611
advar,d04611
advar 250/50,d04611
advaur,xxxxxx
advicor,d04787
advicor 1000,d04787
advicor 500 20,d04787
advicor 500/20,d04787
advil,d00015
advisor,d04787
advodart,d04788
adwair,d04611
aerobid,d00761
aerobid inhaler,d00761
aerobid inhaler 2 puffs,d00761
afeditab,d00051
afeditab cr,d00051
aggienox,d04497
aggnenos,d04497
aggremox,d04497
aggreno9x,d04497
aggrenox,d04497
aggrenox 200,d04497
aggrenox 200/25,d04497
aggrenox 200/25- dc 2007,d04497
aggrenox 25 2oo,d04497
aggrenox 25mg/200mg,d04497
aggrenox capsule,d04497
aggrenox200/25,d04497
aggrenzo,d04497
aggrerox,d04497
