raw_drug,normalized_drug,drug_id
0,unknown,NO_DRUG_ID
1,unknown,NO_DRUG_ID
2.5,unknown,NO_DRUG_ID
10,unknown,NO_DRUG_ID
38,unknown,NO_DRUG_ID
40,unknown,NO_DRUG_ID
81,unknown,NO_DRUG_ID
145,unknown,NO_DRUG_ID
180,unknown,NO_DRUG_ID
2000,unknown,NO_DRUG_ID
6441,unknown,NO_DRUG_ID
",ec;ozome",unknown,d00859
;exa[rp,lexapro,d04812
;ipitor,lipitor,d04105
;o[otpr,unknown,NO_DRUG_ID
;osomp[ro;,lisinopril,d00732
;osompril,lisinopril,d00732
.zantac,zantac,d00021
(100/50/100),unknown,NO_DRUG_ID
(aricept) donepezil,donepezil,d04099
(eye qtts) timolol,timolol,d00139
(lotensin) benazepril,benazepril,d00730
(norvasc) amilodipine,amlodipine,d00689
(premarin)estradol,premarin,d00541
[;avox,plavix,d04258
[pt cj;prode,unknown,NO_DRUG_ID
[rewproi,unknown,NO_DRUG_ID
1/4 klonopin,clonazepam,d00197
2 puffs,unknown,NO_DRUG_ID
70/30 insulin,insulin 70/30,NO_DRUG_ID
81a,aspirin,d00170
a,unknown,NO_DRUG_ID
a birdteron,abiraterone,d07766
a-c carbamide,acetazolamide,d00161
"a,boem",unknown,NO_DRUG_ID
a;;egra,allegra,d04040
a;tace,altace,d00728
a.s.a.,aspirin,d00170
aab-001 ad study drug vs place,aab-001,NO_DRUG_ID
aaricept,aricept,d04099
aavair,advair,NO_DRUG_ID
ab prophylactically,antibiotic prophylaxis,NO_DRUG_ID
abc plus senior,unknown,d03145
abien,ambien,d00910
abilifg,abilify,d04825
abilifx,abilify,d04825
abilify,abilify,d04825
ability,abilify,d04825
ablatan,ablavar,d05846
ablify,unknown,NO_DRUG_ID
ablitiy,abilify,d04825
abreva (10 pct),abreva,d04702
absolute glaucine eye drop,brimonidine eye drops,NO_DRUG_ID
absorbase top ointment,absorbase,d03770
abuterol,albuterol,d00749
acamprosate,acamprosate,d04986
acamprosate calcium,acamprosate calcium,d04986
acandia,avandia,d04434
acarbose,unknown,d03846
accijtane,accutane,d01245
accolate,accolate,d04053
accplex,accupril,d00365
accupine,accupril,d00365
accupril,accupril,d00365
accupul,accupril,d00365
accuretic,accuretic,d04509
accureticel,accutane,d01245
accutane,accutane,d01245
acebotolol,acebutolol,d00128
acebut,acebutolol,d00128
acebutol,acebutolol,d00128
acebutolol,acebutolol,d00128
acebutotol,acebutolol,d00128
acenolol,acebutolol,d00128
aceon,aceon,d04440
acephex,aciphex,d04448
acephex ec,aciphex ec,NO_DRUG_ID
acerole,acerol,NO_DRUG_ID
acerpril,accupril,d00365
aceta zolamide,acetazolamide,d00161
acetamenophen,unknown,d00049
acetaminephen,acetaminophen,d00049
acetaminiphen,acetaminophen,d00049
acetaminophan,acetaminophen,d00049
acetaminophe,acetaminophen,d00049
acetaminophen,acetaminophen,d00049
acetaminophen / codeine #3,tylenol #3,d03423
acetaminophen #3,tylenol #3,d03423
acetaminophen 3,tylenol #3,d03423
acetaminophen w/codeine,unknown,d03423
acetaminophen-hydrocodone,unknown,d03428
acetaminophen-hydrocodone bita,acetaminophen-hydrocodone bitartrate,d03428
acetaminophen-propoxyphene,unknown,d03434
acetaminophen-tramadol hydroch,acetaminophen-tramadol hydrochloride,d04766
acetaminophen/codeine,acetaminophen/codeine,d03423
acetaminophren,acetaminophen,d00049
acetamiophen,acetaminophen,d00049
acetazolamide,acetazolamide,d00161
acetimophen/codeine,acetaminophen/codeine,d03423
acetominophen,acetaminophen,d00049
acetonide,triamcinolone acetonide,d00620
acetonioe,acetazolamide,d00161
acetqminophen,acetaminophen,d00049
acetrin,aspirin,d00170
acetyl l. carnitine,acetyl-l-carnitine,NO_DRUG_ID
acetylcarnitine,acetyl-l-carnitine,NO_DRUG_ID
acgranox,regranex,d04264
achenol complex,unknown,NO_DRUG_ID
acherd,aciphex,d04448
achiphex,aciphex,d04448
achouel,acyclovir,d00001
acicept,aricept,d04099
acidhex,acetazolamide,d00161
acidiphex,aciphex,d04448
acidophilus,acidophilus,d03644
acidphox,aciphex,d04448
acifex,aciphex,d04448
acifix,aciphex,d04448
acipex,aciphex,d04448
aciphep,unknown,d04448
aciphex,aciphex,d04448
aciphey,aciphex,d04448
aciphlex,aciphex,d04448
acipi-tex,acipimox,d04448
aciplep,aciphex,d04448
aciplex,aciphex,d04448
acipnex,aciphex,d04448
acitretin,acitretin,d03836
acmour thyroid,armour thyroid,d00655
acphex,aciphex,d04448
acrelura,acrysof,d00726
acricept,aricept,d04099
acrobid inhaler,aerobid inhaler,NO_DRUG_ID
act05,Unknown,NO_DRUG_ID
actace,altace,d00728
actaminphen,acetaminophen,d00049
actanel,actonel,d04300
actaril,actonel,d04300
actas,actos,d04442
acteel,actonel,d04300
actelol,atenolol,d00004
actenal,actonel,d04300
actenel,actonel,d04300
actenol,actonel,d04300
actifed,actifed,d03316
actigail,actigall,d01005
actigall,actigall,d01005
actimmune,actimmune,d03008
actinel,actinel,d03409
actinol,actinol,d04300
activa,activa,NO_DRUG_ID
activan,ativan,d00149
activel,activella,d04375
activella,activella,d04375
activella (1/0.5mg),activella,d04375
activella(1/0.5mg),activella,d04375
acto plus,actoplus met,d05635
actoid,actos,d04442
actolnel,actonel,d04300
actomel,actonel,d04300
actonal,actonel,d04300
actone,actos,d04442
actonec,actonel,d04300
actonel,actonel,d04300
actonel la,actonel,d04300
actonel risedronate,actonel,d04300
actonel risedronate sodium,actonel,d04300
actonel tabs,actonel,d04300
actonella,actonel,d04300
actonelol,atenolol,d00004
actonet,actonel,d04300
actonil,actonel,d04300
actonol,actonel,d04300
actoplus met tab,actoplus met,d05635
actorel,actonel,d04300
actos,actos,d04442
actos/met,actoplus met,d05635
actos/met 15/800,actoplus met,d05635
actose,lactose,d04442
actoud,unknown,d04300
actoviral,acyclovir,d00001
actox,actos,d04442
actpme;,unknown,NO_DRUG_ID
actrnel,actonel,d04300
actrnol,atenolol,d00004
actron,actron,d00028
actus,actos,d04442
actuzolamide,acetazolamide,d00161
actz,acetazolamide,d00161
acular,acular,d03214
acular 0.005,acular,d03214
acular gtts os,acular,d03214
acular-ketorolqc tromethemine,acular,d03214
acunpril,accupril,d00365
acupil,accupril,d00365
acupril,accupril,d00365
acuretic,accuretic,d04509
acurtetic,accuretic,d04509
acyclorir,acyclovir,d00001
acyclovin,acyclovir,d00001
acyclovir,acyclovir,d00001
acyclurvir(tb),acyclovir,d00001
acydovin,acyclovir,d00001
acydovir,unknown,d00001
adacanol,acetaminophen,d00049
adacard,cardizem,d00045
adactine,atacand,d04322
adalac,adalat,d00051
adalat,adalat,d00051
adalat cc,adalat cc,d00051
adalat pc,unknown,d00051
adalatc,adalat,d00051
adalatrip,adalat,d00051
adarax,atarax,d00907
adavan,ativan,d00149
adceral,adderall,d04035
adderal,adderall,d04035
adderale xr,adderall xr,d04035
adderall,adderall,d04035
adderall xr,adderall xr,d04035
adderoll,adderall,d04035
adecand,atacand,d04322
aderex,adderall,d04035
adidiphex,unknown,d04448
adiphex,aciphex,d04448
adnoiidum,aducanumab,d09759
adodart,avodart,d04788
adom,aducanumab,d09759
adovart,avodart,d04788
adrenal complex,unknown,NO_DRUG_ID
advacor,advicor,d04787
advaia,advair,NO_DRUG_ID
advaie   500/50,advair diskus 500/50,NO_DRUG_ID
advain,advil,d00015
advair,advair,d04611
advair   1 puff  250/50,advair diskus,d04611
advair  1-inhaler,advair,NO_DRUG_ID
advair  25/500,advair diskus,d04611
advair  inhaler,advair,d04611
advair (inhaler),advair,d04611
advair (puffs),advair,d04611
advair 1 puff,advair,d04611
advair 100 50,advair diskus,d04611
advair 100/50 inhale,advair diskus,d04611
advair 100/50 inhaler,advair diskus,d04611
advair 100/50 mcg,advair,NO_DRUG_ID
advair 25/100,advair diskus,d04611
advair 250/50,advair diskus 250/50,d04611
advair 500/50,advair diskus 500/50,d04611
advair 500/50 puffs,advair diskus,d04611
advair 500/so,advair diskus 500/50,NO_DRUG_ID
advair disc,advair diskus,d04611
advair discus,advair diskus,d04611
advair discus(250/50mg),advair diskus,d04611
advair discys,advair diskus,d04611
advair disk,advair diskus,d04611
advair diskins,advair diskus,d04611
advair disku mis,advair diskus,d04611
advair diskus,advair diskus,d04611
advair diskus 100 50,advair diskus,d04611
advair diskus 100/50,advair diskus,d04611
advair diskus 250/50,advair diskus,d04611
advair diskus 50/250,advair diskus,d04611
advair diskus(100/50mg),advair diskus,d04611
advair diskusavapro,advair diskus,d04611
advair inh,advair,d04611
advair inhal,advair,NO_DRUG_ID
advair inhalation,advair,d04611
advair inhale,advair,NO_DRUG_ID
advair inhaler,advair,d04611
advair mdi,advair hfa,d04611
advair mdl,advair,d04611
advair sidcas,advair diskus,d04611
advair-inhalation powder,advair diskus,d04611
advair(250/50mg),advair diskus,d04611
advair(50/250mg),advair diskus,d04611
advandamet,avandamet,d04820
advandia,avandia,d04434
advar,advair,d04611
advar 250/50,advair 250/50,d04611
advicor,advicor,d04787
advicor 1000,advicor,d04787
advicor 500 20,advicor,d04787
advicor 500/20,advicor,d04787
advil,advil,d00015
advir,advair,NO_DRUG_ID
advisor,advair,d04787
advodart,avodart,d04788
adwair,advair,d04611
aenolol,atenolol,d00004
aeproglem,unknown,NO_DRUG_ID
aerazosin,terazosin,d00386
aerobid,aerobid,d00761
aerobid inhaler,aerobid,d00761
aerobid inhaler 2 puffs,aerobid,d00761
aerobin inhaler,aerobid inhaler,NO_DRUG_ID
aetonel,actonel,d04300
aetoplus,actoplus,NO_DRUG_ID
aetos,unknown,NO_DRUG_ID
afeditab,afeditab,d00051
afeditab cr,afeditab cr,d00051
afenolol,atenolol,d00004
aflexa,aricept,d04099
afluzosin,alfuzosin,d04797
agegra-d,allegra-d,NO_DRUG_ID
aggienox,aggrenox,d04497
aggnenos,aggrenox,d04497
aggremox,aggrenox,d04497
aggreno9x,aggrenox,d04497
aggrenox,aggrenox,d04497
aggrenox 200,aggrenox,d04497
aggrenox 25 2oo,aggrenox,d04497
aggrenox 25mg/200mg,aggrenox,d04497
aggrenox capsule,aggrenox,d04497
aggrenox200/25,aggrenox,d04497
aggrenzo,aggrenox,d04497
aggrerox,aggrenox,d04497
aggreviox 200,aggrenox,d04497
aggrorox,aggrenox,d04497
aggtenox,aggrenox,d04497
agguinox,aggrenox,d04497
aggunix,aggrenox,d04497
agranox,aggrenox,d04497
agrenox,aggrenox,d04497
agrylin,agrylin,d04126
ah purinol,allopurinol,d00023
ailopurinol,allopurinol,d00023
aimow thyroid,armour thyroid,d00655
aipitor,lipitor,d04105
airborne formula im,airborne,d03145
airborne im,unknown,n10002
akex,atarax,d00907
aktace,altace,d00728
alamag suspension,alamag suspension,NO_DRUG_ID
alamast,alamast,d04458
alamay suspension,alamast suspension,NO_DRUG_ID
alaphagan,alphagan,d04048
alaprazolam,alprazolam,d00168
alarert,aricept,d04099
alavert,alavert,d03050
alavert or loratadine,loratadine,d03050
albetrol,albuterol,d00749
albipratrom nebs,albuterol nebulizer,NO_DRUG_ID
alboterd / atrovent,albuterol / atrovent,NO_DRUG_ID
albuetor,albuterol,d00749
albulerol,albuterol,d00749
albutenal mdi,albuterol mdi,d00749
albutenol,albuterol,d00749
albuteral,albuterol,d00749
albuteral inh,albuterol inhaler,NO_DRUG_ID
albuteral inhales,albuterol inhaler,NO_DRUG_ID
albuteral nebulizer,albuterol nebulizer,NO_DRUG_ID
albuteroal inhaler,albuterol inhaler,d00749
albuterol,albuterol,d00749
albuterol (inhaler),albuterol,d00749
albuterol (nebuliza),albuterol,d00749
albuterol (puffs),albuterol,d00749
albuterol / prn,albuterol,d00749
albuterol 0.083 percent,albuterol,d00749
albuterol 1 puff,albuterol,d00749
albuterol 90/ipratrop,combivent,d04066
albuterol and advair as needed,albuterol and advair,d00749
albuterol hfa,unknown,d00749
albuterol inh,albuterol inhaler,d00749
albuterol inh.,albuterol inhaler,d00749
albuterol inhalation,albuterol inhalation,NO_DRUG_ID
albuterol inhaler,albuterol inhaler,d00749
albuterol inhaler(2.5/5mg),albuterol,d00749
albuterol mdi,albuterol mdi,d00749
albuterol neb,albuterol,d00749
albuterol neblizer,albuterol nebulizer,NO_DRUG_ID
albuterol nebrilizer,albuterol nebulizer,d00749
albuterol nebulizer,albuterol,d00749
albuterol sulfate,albuterol sulfate,d00749
albuterol tx,albuterol,d00749
albuterol updraft,albuterol,d00749
albuterol usp,albuterol,d00749
albuterol usp inh.,albuterol,d00749
albuterol via nebulizer,albuterol,d00749
albuterol-ipratropium,unknown,d04066
albutol,albuterol,d00749
albutorol,albuterol,d00749
albutrol,albuterol,d00749
albutrolinhlim,albuterol inhaler,NO_DRUG_ID
albvlerol,albuterol,d00749
alclometasone,alclometasone,d01282
aldactazide,aldactazide,d03247
aldactone,aldactone,d00373
aldalat pl,adalat xl,NO_DRUG_ID
aldara,unknown,d04125
aldara cream,aldara cream,d04125
aldomet,aldomet,d00133
aledronate,alendronate,d03849
alegra-d,allegra-d,NO_DRUG_ID
alendronate,alendronate,d03849
alendronate/fosamax,unknown,d03849
alendronath,alendronate,d03849
alendronate (fosamax),alendronate,d03849
alenolol,atenolol,d00004
alenoronate,alendronate,d03849
alentol,atenolol,d00004
aleon betoptics,betoptic,d04038
alesse,alesse,d03242
aleve,aleve,d00019
alfafa,unknown,NO_DRUG_ID
alfagan,alphagan,d04048
alfrare,alfuzosin,d04797
alfungol,alfungol,NO_DRUG_ID
alfuzosin,alfuzosin,d04797
alfuzosin hcl,alfuzosin hcl,d04797
allapurinol,allopurinol,d00023
allbpurinol,allopurinol,d00023
alle,unknown,NO_DRUG_ID
allegra,allegra,d04040
allegra - d,allegra-d,d04040
allegra d,allegra d,d04270
allegra er,allegra,d04040
allegra fexofenade,allegra,d04040
allegra-d,allegra-d,d04270
allegra-d 12hr,allegra-d 12hr,d04270
allegrea,allegra,d04040
allegro,allegra,d04040
allegro nasal spray,allegra,d04040
allequinil,allopurinol,d00023
allera d,allegra-d,d04040
allerclear,allerclear,r10012
allerex,allegra,d04040
allerga,allegra,d04040
allergan,allergan,d03627
allergen,allergen,d03627
allergra,unknown,NO_DRUG_ID
allergy 10 shots,allergy immunotherapy,NO_DRUG_ID
allergy inj,allergy injection,NO_DRUG_ID
allergy injection,allergen immunotherapy,NO_DRUG_ID
allergy med.,unknown,d00212
allergy pill,antihistamine,d00212
allergy shot,allergen immunotherapy,NO_DRUG_ID
allergy shots,allergen immunotherapy,NO_DRUG_ID
alloburinal,unknown,d00023
alloparinol,allopurinol,d00023
alloperinol,allopurinol,d00023
allophrinol,allopurinol,d00023
allopinoil,allopurinol,d00023
allopirrinol,allopurinol,d00023
alloporinol,allopurinol,d00023
alloprev,allopurinol,d00023
alloprurinol,allopurinol,d00023
allopumil,allopurinol,d00023
allopumol,allopurinol,d00023
allopuninol,allopurinol,d00023
allopunol,allopurinol,d00023
allopurinal,allopurinol,d00023
allopurind,allopurinol,d00023
allopurine,allopurinol,d00023
allopurinol,allopurinol,d00023
allopurinol tabs,allopurinol,d00023
allopurinol?,unknown,NO_DRUG_ID
allopurirol,allopurinol,d00023
allopurlnol,allopurinol,d00023
allopurnial,allopurinol,d00023
allopurnol,allopurinol,d00023
allopuurinol,allopurinol,d00023
allopwinol,allopurinol,d00023
allopwrinal,allopurinol,d00023
allopyrinol,unknown,d00023
allourinol,allopurinol,d00023
allppurinol,allopurinol,d00023
allprazolam,alprazolam,d00168
allpurinil,allopurinol,d00023
allpurinol,allopurinol,d00023
allulerol,albuterol,d00749
allupurine,unknown,d00023
allupurinol,allopurinol,d00023
aloactone,aldactone,d00373
alocril,alocril,d04503
alopacrenol,allopurinol,d00023
aloprolinol,allopurinol,d00023
alopurinol,allopurinol,d00023
alpagen,alprazolam,d00168
alpha blocker uratrox,cardura,d00726
alpha-gan,alphagan,d04048
alphagam,alphagam,d04048
alphagan,alphagan,d04048
alphagan (15 pct) (eyedrop),alphagan p,d04048
alphagan (eyedrop),alphagan,d04048
alphagan 0.001  2gtts l eye,alphagan,d04048
alphagan 0.005%,alphagan,d04048
alphagan 0.015%,alphagan p 0.15%,d04048
alphagan 0.15%,alphagan,d04048
alphagan 1 gtt,alphagan,d04048
alphagan drops,alphagan,d04048
alphagan eye drop,alphagan,d04048
alphagan eye drops,alphagan,d04048
alphagan gi,alphagan,d04048
alphagan gtts,alphagan,d04048
alphagan gtts od,alphagan,d04048
alphagan gtts ou,alphagan,d04048
alphagan opth,alphagan,d04048
alphagan opth sal,unknown,d04048
alphagan opthalmic solution,alphagan ophthalmic solution,d04048
alphagan ou,alphagan,d04048
alphagan p,alphagan p,d04048
alphagan p     2 drops -l eye,alphagan p,d04048
alphagan p .15,alphagan p,d04048
alphagan p ou,alphagan p,d04048
alphagan p.,alphagan p,d04048
alphagan-p,alphagan-p,d04048
alphagen,alphagan,d04048
alphagen drops,alphagan drops,NO_DRUG_ID
alphagen opthalmic drops,alphagan ophthalmic drops,d04048
alphagon,alphagan,d04048
alphagran,alfuzosin,d04797
alphanson,alphagan,d04048
alphgan,alphagan,d04048
alprazalam,unknown,d00168
alprazalam (xanax),alprazolam,d00168
alprazalom,alprazolam,d00168
alprazolam,alprazolam,d00168
